"feature","chi2","p","n_target","n_reference","direction"
"asozial",0.49062015932253,0.48365079594934,4,4,"Left-leaning"
"fremdenfeindlich",0.49062015932253,0.48365079594934,4,4,"Left-leaning"
"meinungen",0.49062015932253,0.48365079594934,4,4,"Left-leaning"
"reiche",0.49062015932253,0.48365079594934,4,4,"Left-leaning"
"uninteressiert",0.49062015932253,0.48365079594934,4,4,"Left-leaning"
"darauf",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"egozentrisch",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"geben",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"gute",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"kompliziert",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"lebensstil",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"liebe",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"neuem",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"politischen",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"protzig",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"soziales",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"status",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"svp-wähler",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"teil",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"traditionell",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"verständnis",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"wähler",0.435870714441013,0.509122248893409,2,1,"Left-leaning"
"egoistisch",0.398721406917018,0.527750315315207,13,22,"Right-leaning"
"politisch",0.312437368381254,0.576188355942994,9,15,"Right-leaning"
"engstirnig",0.278243264558516,0.597854961751103,11,19,"Right-leaning"
"bedacht",0.246877201279396,0.619282570315889,3,3,"Left-leaning"
"gegenüber",0.246877201279396,0.619282570315889,3,3,"Left-leaning"
"konservative",0.246877201279396,0.619282570315889,3,3,"Left-leaning"
"rechthaberisch",0.246877201279396,0.619282570315889,3,3,"Left-leaning"
"welt",0.246877201279396,0.619282570315889,3,3,"Left-leaning"
"land",0.185117455384495,0.667011771557616,4,5,"Right-leaning"
"svp",0.185117455384495,0.667011771557616,4,5,"Right-leaning"
"wichtig",0.185117455384495,0.667011771557616,4,5,"Right-leaning"
"meinung",0.160490681451648,0.688705159646419,10,18,"Right-leaning"
"geld",0.155385963020906,0.693440574330848,11,20,"Right-leaning"
"egoisten",0.155170822698012,0.693642112877572,5,7,"Right-leaning"
"akademiker",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"auto",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"bünzli",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
