"feature","chi2","p","n_target","n_reference","direction"
"vegetarisch",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"zukunft",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"naturverbunden",0.426896733006655,0.513515616024787,5,6,"Right-leaning"
"freunde",0.368089958807619,0.544047249431556,6,8,"Right-leaning"
"politik",0.368089958807619,0.544047249431556,6,8,"Right-leaning"
"eher",0.31929087871898,0.572034112793418,13,23,"Right-leaning"
"eigene",0.272466853397547,0.601681766138107,3,3,"Left-leaning"
"eingestellt",0.272466853397547,0.601681766138107,3,3,"Left-leaning"
"etc",0.272466853397547,0.601681766138107,3,3,"Left-leaning"
"interessierte",0.272466853397547,0.601681766138107,3,3,"Left-leaning"
"kreativ",0.272466853397547,0.601681766138107,3,3,"Left-leaning"
"sozialen",0.272466853397547,0.601681766138107,3,3,"Left-leaning"
"unkompliziert",0.272466853397547,0.601681766138107,3,3,"Left-leaning"
"aufgeschlossen",0.228321327822014,0.632771341745919,7,12,"Right-leaning"
"einfach",0.211923283176232,0.645264112804913,4,5,"Right-leaning"
"kinder",0.183431115276324,0.668441025845921,5,7,"Right-leaning"
"neues",0.167764542978423,0.682106218898856,6,9,"Right-leaning"
"berufstätig",0.157036470338603,0.69189975306776,2,3,"Right-leaning"
"familienmenschen",0.157036470338603,0.69189975306776,2,3,"Right-leaning"
"fröhlich",0.157036470338603,0.69189975306776,2,3,"Right-leaning"
"gibt",0.157036470338603,0.69189975306776,2,3,"Right-leaning"
"glauben",0.157036470338603,0.69189975306776,2,3,"Right-leaning"
"gutes",0.157036470338603,0.69189975306776,2,3,"Right-leaning"
"kreative",0.157036470338603,0.69189975306776,2,3,"Right-leaning"
"mitmenschen",0.157036470338603,0.69189975306776,2,3,"Right-leaning"
"akademiker",0.122095737127501,0.726772516076187,3,5,"Right-leaning"
"studenten",0.122095737127501,0.726772516076187,3,5,"Right-leaning"
"familie",0.0989686352302697,0.753070840029477,9,17,"Right-leaning"
"beziehung",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"freiheitsliebend",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"gleiche",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"guter",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"hinterfragen",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"hohe",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"jedoch",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"künstler",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"liberale",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"reisefreudig",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"stadt",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"teil",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"tierliebend",0.0609523319932281,0.80499702349811,2,2,"Left-leaning"
"finanziell",0.0506990860365089,0.821851246550425,3,4,"Right-leaning"
"müssen",0.0506990860365089,0.821851246550425,3,4,"Right-leaning"
"orientiert",0.0506990860365089,0.821851246550425,3,4,"Right-leaning"
"umfeld",0.0506990860365089,0.821851246550425,3,4,"Right-leaning"
"verantwortung",0.0506990860365089,0.821851246550425,3,4,"Right-leaning"
"wenig",0.0506990860365089,0.821851246550425,3,4,"Right-leaning"
"aktiv",0.0492317474820384,0.824405522947811,5,8,"Right-leaning"
"freundlich",0.0492317474820384,0.824405522947811,5,8,"Right-leaning"
"kritisch",0.0492317474820384,0.824405522947811,5,8,"Right-leaning"
"bildung",0.0486936712190113,0.825352175816926,4,6,"Right-leaning"
"soziale",0.0486936712190113,0.825352175816926,4,6,"Right-leaning"
"mittelstand",0.0382907121707653,0.844860539915779,11,22,"Right-leaning"
"tolerant",0.0277489617595422,0.867700377115449,8,16,"Right-leaning"
"engagiert",0.0207625984526551,0.885427564338185,6,12,"Right-leaning"
"mittelschicht",0.0138091379556906,0.906454106673386,4,8,"Right-leaning"
"interesse",0.010344673709653,0.918987841519227,3,6,"Right-leaning"
"denkende",0.00688834837727086,0.933854660966182,2,4,"Right-leaning"
"einsetzen",0.00688834837727086,0.933854660966182,2,4,"Right-leaning"
"höhere",0.00688834837727086,0.933854660966182,2,4,"Right-leaning"
"ruhig",0.00688834837727086,0.933854660966182,2,4,"Right-leaning"
"weltoffene",0.00688834837727086,0.933854660966182,2,4,"Right-leaning"
"werte",0.00688834837727086,0.933854660966182,2,4,"Right-leaning"
"wirtschaft",0.00688834837727086,0.933854660966182,2,4,"Right-leaning"
"ähnliche",0.00688834837727086,0.933854660966182,2,4,"Right-leaning"
"abgesichert",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"alleinstehend",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"angestellte",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"arbeitende",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"arbeitstätig",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"belesen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"bezahlt",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"bezug",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"bilden",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"breites",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"denke",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"ehemalige",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"eigenes",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"entweder",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"ferien",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
