"feature","chi2","p","n_target","n_reference","direction"
"umweltschutz",1.10054357715217,0.294146842797386,3,0,"new left"
"verantwortung",1.10054357715217,0.294146842797386,3,0,"new left"
"weniger",1.10054357715217,0.294146842797386,3,0,"new left"
"wichtiger",1.10054357715217,0.294146842797386,3,0,"new left"
"junge",0.920043580709999,0.337463529655714,11,6,"new left"
"soziale",0.920043580709999,0.337463529655714,11,6,"new left"
"sportlich",0.920043580709999,0.337463529655714,11,6,"new left"
"gibt",0.886855163394987,0.346330953988923,8,4,"new left"
"innen",0.786356309262349,0.375204176582531,6,2,"new left"
"interesse",0.786356309262349,0.375204176582531,6,2,"new left"
"jedoch",0.786356309262349,0.375204176582531,6,2,"new left"
"orientiert",0.786356309262349,0.375204176582531,6,2,"new left"
"umfeld",0.786356309262349,0.375204176582531,6,2,"new left"
"verschiedenen",0.786356309262349,0.375204176582531,6,2,"new left"
"verständnisvoll",0.786356309262349,0.375204176582531,6,2,"new left"
"liberal",0.772238132069542,0.379525557596539,12,7,"new left"
"freunde",0.65403994283013,0.418671986970364,13,8,"new left"
"offene",0.652756878342638,0.419128744730137,17,11,"new left"
"akzeptieren",0.572841341405213,0.449132046969958,4,1,"new left"
"einstellung",0.572841341405213,0.449132046969958,4,1,"new left"
"gleicher",0.572841341405213,0.449132046969958,4,1,"new left"
"gruppe",0.572841341405213,0.449132046969958,4,1,"new left"
"integriert",0.572841341405213,0.449132046969958,4,1,"new left"
"klug",0.572841341405213,0.449132046969958,4,1,"new left"
"respekt",0.572841341405213,0.449132046969958,4,1,"new left"
"teil",0.572841341405213,0.449132046969958,4,1,"new left"
"themen",0.572841341405213,0.449132046969958,4,1,"new left"
"zukunft",0.572841341405213,0.449132046969958,4,1,"new left"
"denkende",0.568153787980597,0.450993485893084,7,3,"new left"
"kinder",0.568153787980597,0.450993485893084,7,3,"new left"
"immer",0.489856656883957,0.483991253488886,7,4,"new left"
"kommunikativ",0.489856656883957,0.483991253488886,7,4,"new left"
"gerne",0.411309903487405,0.521305397792456,16,11,"new left"
"bewusst",0.351097666466945,0.553492424478193,5,2,"new left"
"naturliebend",0.351097666466945,0.553492424478193,5,2,"new left"
"nett",0.351097666466945,0.553492424478193,5,2,"new left"
"positiv",0.351097666466945,0.553492424478193,5,2,"new left"
"unabhängig",0.351097666466945,0.553492424478193,5,2,"new left"
"gute",0.286201781898208,0.592664862469685,9,6,"new left"
"familie",0.263496935487002,0.607727827724799,14,10,"new left"
"gleichen",0.231344679372733,0.630528556627389,6,3,"new left"
"guter",0.231344679372733,0.630528556627389,6,3,"new left"
"sozialen",0.231344679372733,0.630528556627389,6,3,"new left"
"abenteuerlustig",0.221278393921485,0.638067568041572,2,1,"new left"
"abgesichert",0.221278393921485,0.638067568041572,2,1,"new left"
"aktuellen",0.221278393921485,0.638067568041572,2,1,"new left"
"ansprüche",0.221278393921485,0.638067568041572,2,1,"new left"
